DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
09/25/2017,11:19,STATEN ISLAND,10304,40.59325,-74.11065,"(40.59325, -74.11065)",TODT HILL ROAD                  ,FOUR CORNERS ROAD,,3,0,0,0,0,0,3,0,Turning Improperly,Unspecified,,,,3759682,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/25/2017,11:20,BROOKLYN,11233,40.676193,-73.90687,"(40.676193, -73.90687)",,,2358      ATLANTIC AVENUE               ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3760734,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
09/25/2017,11:20,,,40.689247,-73.86602,"(40.689247, -73.86602)",75 STREET                       ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3757197,SPORT UTILITY / STATION WAGON,,,,
09/25/2017,11:20,,,40.638542,-73.92604,"(40.638542, -73.92604)",KINGS HIGHWAY                   ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3757829,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/25/2017,11:24,BROOKLYN,11208,40.671597,-73.88018,"(40.671597, -73.88018)",SUTTER AVENUE                   ,SHEPHERD AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3757489,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/25/2017,11:25,MANHATTAN,10021,40.77373,-73.96402,"(40.77373, -73.96402)",MADISON AVENUE                  ,EAST 75 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3761980,TAXI,,,,
09/25/2017,11:29,QUEENS,11423,40.7145,-73.77114,"(40.7145, -73.77114)",89 AVENUE                       ,190 STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3757269,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/25/2017,11:30,,,40.82681,-73.902626,"(40.82681, -73.902626)",FOREST AVENUE                   ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3757796,SPORT UTILITY / STATION WAGON,,,,
09/25/2017,15:35,,,40.76835,-73.963326,"(40.76835, -73.963326)",EAST 69 STREET                  ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3760775,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/25/2017,11:30,,,40.709145,-74.00547,"(40.709145, -74.00547)",GOLD STREET                     ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3758011,PASSENGER VEHICLE,,,,
